Year,Month,Day,Daytype,Time,City,Province,LocationType,Density,Target,Kills,Injures,Temperature(F),Targeted Relgion
2016,9,2,Working Day,5,Mardan,Khyber-Pakhtunkhwa,Office Building,High,Civilian,13,56,82,None
2016,9,13,Weekend or Holiday,7,Shikarpur,Sindh,Religious Area,High,Religious,0,11,89,Shiite
2016,9,16,Working Day,13,Mohmand Agency ,FATA,Religious Area,High,Religious,26,22,83,
2016,10,25,Working Day,12,Quetta,Balochistan,Office Building,High,Police and Military,59,132,58,
2016,11,12,Weekend or Holiday,18,Khuzdar,Balochistan,Religious Area,High,Civilian,48,100,Missing,None
2016,11,26,Weekend or Holiday,6,Mohmand Agency,FATA,Military or Police Area,High,Police and Military,2,14,63,None
2017,2,7,Working Day,5,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,0,2,Missing,None
2017,2,13,Working Day,18,Lahore,Punjab,Office Building,High,Civilian,16,86,61,None
2017,2,15,Working Day,8,"Ghallanai, Mohmand Agency ",FATA,Commercial and Residence Area,High,Police and Military,6,1,52,None
2017,2,15,Working Day,15,Hayatabad,Khyber-Pakhtunkhwa,Commercial and Residence Area,Medium,"Government, Media and Officer",1,11,61,None
2017,2,15,Working Day,9,"Mosal Kor, Mohmand Agency",FATA,Office Building,High,"Government, Media and Officer",1,0,Missing,None
2017,2,16,Working Day,18,Sehwan town,Sindh,Religious Area,High,Party and Election,71,175,74,shiite
2017,2,21,Working Day,9,"Tangi, Charsadda District",Khyber-Pakhtunkhwa,Office Building,High,"Government, Media and Officer",6,17,52,None
2017,4,5,Working Day,7,Lahore,Punjab,Missing,Low,Police and Military,6,20,84,None
2017,5,12,Working Day,14,Quetta,Balochistan,Missing,Low,"Government, Media and Officer",26,36,111,None
2017,5,20,Weekend or Holiday,Missing,Kohat,Khyber-Pakhtunkhwa,Military or Police Area,Low,Police and Military,2,0,99,None
2017,6,23,Working Day,13,Quetta,Balochistan,Religious Area,Low,Party and Election,57,100,97,Shiite
2017,7,10,Working Day,11,Chaman,Balochistan,Missing,Low,Police and Military,2,6,100,None
2017,7,17,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,4,98,None
2017,7,17,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,1,98,None
2017,7,24,Working Day,15,Lahore,Punjab,Missing,Medium,Police and Military,26,56,88,
2017,8,12,Weekend or Holiday,17,Quetta,Balochistan,Missing,Medium,Police and Military,15,40,Missing,None
2017,10,5,Working Day,Missing,Quetta,Balochistan,Religious Area,High,Civilian,21,25,81,None
2017,10,19,Working Day,8,Quetta,Balochistan,Transport,Low,Police and Military,7,22,79,None
2017,11,9,Working Day,7,Quetta,Balochistan,Military or Police Area,Low,Police and Military,2,8,77,None
2017,11,24,Working Day,7,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,Low,Missing,4,4,Missing,1
2017,11,25,Weekend or Holiday,7,Quetta,Balochistan,Military or Police Area,Medium,Police and Military,4,19,84,None
2018,7,11,Working Day,12,Peshawar,Khyber-Pakhtunkhwa,Missing,Missing,Party and Election,20,63,Missing,
2018,7,13,Working Day,21,Quetta,Balochistan,Missing,Missing,Party and Election,128,150,Missing,
